,hashed_user_id,event_date,event_type,params
0,1,2025-02-08,main_page.shown,{}
1,1,2025-02-08,item.added,{}
2,1,2025-02-08,cart.shown,{}
3,1,2025-02-08,checkout.shown,{}
4,2,2025-01-30,main_page.shown,{}
5,2,2025-01-30,item.added,{}
6,2,2025-01-30,cart.shown,{}
7,2,2025-01-30,checkout.shown,{}
8,2,2025-01-30,order.created,"{""order_id"": ""O2_0_3734""}"
9,2,2025-01-31,main_page.shown,{}
10,2,2025-01-31,item.added,{}
11,2,2025-01-31,cart.shown,{}
12,2,2025-01-31,checkout.shown,{}
13,2,2025-01-31,order.created,"{""order_id"": ""O2_1_4073""}"
14,3,2025-01-31,main_page.shown,{}
15,3,2025-01-31,item.added,{}
16,3,2025-01-31,cart.shown,{}
17,3,2025-01-31,checkout.shown,{}
18,3,2025-01-31,order.created,"{""order_id"": ""O3_0_3062""}"
19,4,2025-02-04,main_page.shown,{}
20,4,2025-02-04,item.added,{}
21,4,2025-02-04,cart.shown,{}
22,4,2025-02-04,checkout.shown,{}
23,4,2025-02-04,order.created,"{""order_id"": ""O4_0_9154""}"
24,4,2025-02-11,main_page.shown,{}
25,4,2025-02-11,item.added,{}
26,4,2025-02-11,cart.shown,{}
27,4,2025-02-11,checkout.shown,{}
28,4,2025-02-11,order.created,"{""order_id"": ""O4_1_4157""}"
29,5,2025-02-27,main_page.shown,{}
30,6,2025-01-01,main_page.shown,{}
31,7,2025-02-10,main_page.shown,{}
32,7,2025-02-10,item.added,{}
33,7,2025-02-10,cart.shown,{}
34,7,2025-02-10,checkout.shown,{}
35,7,2025-02-10,order.created,"{""order_id"": ""O7_0_7585""}"
36,8,2025-02-23,main_page.shown,{}
37,8,2025-02-23,item.added,{}
38,8,2025-02-23,cart.shown,{}
39,8,2025-02-23,checkout.shown,{}
40,9,2025-01-05,main_page.shown,{}
41,9,2025-01-05,item.added,{}
42,9,2025-01-05,cart.shown,{}
43,9,2025-01-05,checkout.shown,{}
44,9,2025-01-05,order.created,"{""order_id"": ""O9_0_9338""}"
45,10,2025-02-11,main_page.shown,{}
46,11,2025-02-26,main_page.shown,{}
47,12,2025-01-12,main_page.shown,{}
48,12,2025-01-12,item.added,{}
49,12,2025-01-12,cart.shown,{}
50,13,2025-02-21,main_page.shown,{}
51,14,2025-01-20,main_page.shown,{}
52,15,2025-01-25,,{}
53,15,2025-01-25,item.added,{}
54,15,2025-01-25,cart.shown,{}
55,15,2025-01-25,checkout.shown,{}
56,16,2025-01-17,main_page.shown,{}
57,16,2025-01-17,item.added,{}
58,16,2025-01-17,cart.shown,{}
59,17,2025-01-27,main_page.shown,{}
60,17,2025-01-27,item.added,{}
61,17,2025-01-27,cart.shown,{}
62,17,2025-01-27,checkout.shown,{}
63,18,2025-02-22,main_page.shown,{}
64,19,2025-01-29,main_page.shown,{}
65,20,2025-02-02,main_page.shown,{}
66,20,2025-02-02,item.added,{}
67,20,2025-02-02,cart.shown,{}
68,21,2025-02-15,main_page.shown,{}
69,22,2025-01-02,main_page.shown,{}
70,22,2025-01-02,item.added,{}
71,22,2025-01-02,cart.shown,{}
72,22,2025-01-02,checkout.shown,{}
73,22,2025-01-02,order.created,"{""order_id"": ""O22_0_3950""}"
74,22,2025-01-04,main_page.shown,{}
75,22,2025-01-04,item.added,{}
76,22,2025-01-04,cart.shown,{}
77,22,2025-01-04,checkout.shown,{}
78,22,2025-01-04,order.created,"{""order_id"": ""O22_1_4124""}"
79,22,2025-01-09,main_page.shown,{}
80,22,2025-01-09,item.added,{}
81,22,2025-01-09,cart.shown,{}
82,22,2025-01-09,checkout.shown,{}
83,22,2025-01-09,order.created,"{""order_id"": ""O22_2_1512""}"
84,23,2025-01-05,main_page.shown,{}
85,23,2025-01-05,item.added,{}
86,23,2025-01-05,cart.shown,{}
87,23,2025-01-05,checkout.shown,{}
88,23,2025-01-05,order.created,"{""order_id"": ""O23_0_7617""}"
89,23,2025-01-12,,{}
90,23,2025-01-12,item.added,{}
91,23,2025-01-12,cart.shown,{}
92,24,2025-02-01,main_page.shown,{}
93,24,2025-02-01,item.added,{}
94,24,2025-02-01,cart.shown,{}
95,25,2025-01-10,main_page.shown,{}
96,25,2025-01-10,item.added,{}
97,25,2025-01-10,cart.shown,{}
98,25,2025-01-10,checkout.shown,{}
99,25,2025-01-10,order.created,"{""order_id"": ""O25_0_4974""}"
100,25,2025-01-11,main_page.shown,{}
101,25,2025-01-11,item.added,{}
102,25,2025-01-11,cart.shown,{}
103,25,2025-01-11,checkout.shown,{}
104,25,2025-01-11,order.created,"{""order_id"": ""O25_1_6917""}"
105,25,2025-01-11,support.feedback_submitted,"{""order_id"": ""O25_1_6917"", ""feedback_id"": ""FB25_1_8400""}"
106,26,2025-02-27,main_page.shown,{}
107,26,2025-02-27,item.added,{}
108,26,2025-02-27,cart.shown,{}
109,26,2025-02-27,checkout.shown,{}
110,26,2025-02-27,order.created,"{""order_id"": ""O26_0_8330""}"
111,27,2025-02-09,main_page.shown,{}
112,27,2025-02-09,item.added,{}
113,28,2025-02-17,main_page.shown,{}
114,28,2025-02-17,item.added,{}
