,hashed_feedback_id,hashed_user_id,event_date,hashed_order_id,is_negative
105,FB25_1_8400,25,2025-01-11,O25_1_6917,False
149,FB40_0_8941,40,2025-02-08,O40_0_8730,False
322,FB87_0_9465,87,2025-02-21,O87_0_8099,False
449,FB117_0_9433,117,2025-02-08,,True
497,FB129_1_4390,129,2025-01-29,O129_1_5431,True
534,FB138_1_6879,138,2025-01-15,O138_1_6774,False
600,FB153_1_5658,153,2025-02-24,O153_1_8922,False
847,FB225_0_7811,225,2025-02-17,O225_0_7314,False
937,,246,2025-01-13,,
1123,FB292_0_5675,292,2025-02-26,O292_0_1171,False
1133,FB294_0_9022,294,2025-01-05,O294_0_1588,False
1139,,294,2025-01-12,,
1416,FB363_0_4557,363,2025-02-27,O363_0_6495,False
1508,FB387_0_2468,387,2025-02-06,O387_0_7041,False
1673,FB428_1_5134,428,2025-02-04,O428_1_3838,False
1698,FB433_0_9990,433,2025-01-19,O433_0_3577,True
1735,FB441_0_3138,441,2025-02-04,O441_0_2439,False
1812,FB462_0_6902,462,2025-02-02,O462_0_9853,False
1880,FB479_0_9431,479,2025-02-27,O479_0_8928,False
2073,FB524_0_5867,524,2025-02-10,O524_0_9464,False
2131,FB537_0_2250,537,2025-01-21,O537_0_1120,False
2196,FB553_0_4659,553,2025-02-20,O553_0_1076,False
2253,FB569_1_3502,569,2025-02-20,O569_1_1100,False
2266,FB572_0_3552,572,2025-02-13,O572_0_5615,True
2968,FB744_0_7476,744,2025-02-14,O744_0_7220,False
3316,FB841_0_4360,841,2025-01-26,O841_0_6023,False
3467,FB881_0_8814,881,2025-01-29,O881_0_1973,False
3517,FB894_0_5815,894,2025-01-04,O894_0_9233,False
3611,FB916_0_5005,916,2025-02-05,O916_0_5353,False
3721,FB943_1_2031,943,2025-01-14,O943_1_7228,True
3872,FB983_0_3413,983,2025-01-28,O983_0_2419,False
3977,FB1013_0_9414,1013,2025-01-16,O1013_0_2897,False
4503,FB1151_0_4373,1151,2025-01-03,O1151_0_9335,False
4650,FB1184_1_3721,1184,2025-02-21,O1184_1_3862,False
4724,FB1203_0_7656,1203,2025-02-15,O1203_0_5841,False
4733,FB1205_0_3555,1205,2025-02-13,O1205_0_2790,True
5016,FB1271_0_9805,1271,2025-01-02,O1271_0_7115,False
