,user_id,hashed_user_id,exp_group,event_date
194010,51426,51426,A,2025-01-01
222511,58884,58884,A,2025-01-01
294527,77834,77834,A,2025-01-01
162088,42968,42968,A,2025-01-01
210814,55854,55854,A,2025-01-01
199007,52747,52747,B,2025-01-01
320452,84703,84703,B,2025-01-01
30836,8211,8211,B,2025-01-01
173259,45903,45903,B,2025-01-01
361286,95522,95522,A,2025-01-01
107268,28548,28548,A,2025-01-01
373744,98827,98827,B,2025-01-01
238916,63191,63191,B,2025-01-01
98004,26038,26038,A,2025-01-01
85952,22858,22858,A,2025-01-01
277144,73213,73213,B,2025-01-01
30813,8204,8204,A,2025-01-01
173272,45907,45907,B,2025-01-01
8258,2125,2125,B,2025-01-01
85978,22866,22866,A,2025-01-01
8082,2084,2084,A,2025-01-01
37460,9988,9988,A,2025-01-01
316996,83783,83783,B,2025-01-01
227167,60103,60103,B,2025-01-01
331707,87655,87655,B,2025-01-01
70557,18793,18793,B,2025-01-01
8145,2099,2099,B,2025-01-01
178756,47379,47379,B,2025-01-01
320427,84695,84695,B,2025-01-01
199125,52778,52778,A,2025-01-01
95066,25272,25272,A,2025-01-01
240273,63546,63546,A,2025-01-01
325411,86018,86018,A,2025-01-01
8230,2119,2119,B,2025-01-01
58356,15582,15582,A,2025-01-01
186992,49574,49574,A,2025-01-01
300056,79302,79302,A,2025-01-01
44665,11951,11951,B,2025-01-01
58458,15612,15612,A,2025-01-01
85899,22846,22846,A,2025-01-01
299868,79249,79249,B,2025-01-01
101718,27046,27046,A,2025-01-01
304871,80588,80588,A,2025-01-01
58599,15646,15646,A,2025-01-01
8634,2231,2231,B,2025-01-01
320518,84721,84721,B,2025-01-01
70124,18672,18672,A,2025-01-01
206781,54807,54807,B,2025-01-01
361216,95507,95507,B,2025-01-01
334123,88304,88304,A,2025-01-01
246945,65279,65279,B,2025-01-01
299755,79220,79220,A,2025-01-01
225883,59780,59780,A,2025-01-01
166388,44084,44084,A,2025-01-01
198740,52679,52679,B,2025-01-01
261742,69225,69225,B,2025-01-01
277079,73194,73194,A,2025-01-01
166435,44098,44098,A,2025-01-01
118903,31617,31617,B,2025-01-01
166455,44104,44104,A,2025-01-01
240257,63542,63542,A,2025-01-01
37303,9939,9939,B,2025-01-01
8475,2183,2183,B,2025-01-01
230001,60857,60857,B,2025-01-01
21308,5638,5638,A,2025-01-01
21285,5631,5631,B,2025-01-01
284890,75275,75275,B,2025-01-01
328463,86827,86827,B,2025-01-01
306807,81123,81123,B,2025-01-01
136170,36167,36167,B,2025-01-01
70227,18701,18701,B,2025-01-01
237294,62778,62778,A,2025-01-01
162146,42982,42982,A,2025-01-01
187170,49622,49622,A,2025-01-01
224702,59473,59473,B,2025-01-01
145141,38529,38529,B,2025-01-01
240315,63553,63553,B,2025-01-01
314095,83029,83029,B,2025-01-01
70954,18905,18905,B,2025-01-01
374116,98924,98924,A,2025-01-01
209347,55461,55461,B,2025-01-01
94941,25235,25235,B,2025-01-01
21923,5801,5801,B,2025-01-01
214117,56719,56719,B,2025-01-01
277379,73276,73276,A,2025-01-01
244884,64729,64729,B,2025-01-01
186659,49486,49486,A,2025-01-01
260161,68780,68780,A,2025-01-01
317120,83811,83811,B,2025-01-01
354192,93599,93599,B,2025-01-01
70889,18887,18887,B,2025-01-01
119111,31668,31668,A,2025-01-01
263661,69727,69727,B,2025-01-01
7744,1999,1999,B,2025-01-01
339809,89792,89792,A,2025-01-01
21954,5809,5809,B,2025-01-01
161808,42891,42891,B,2025-01-01
86217,22925,22925,B,2025-01-01
57941,15469,15469,B,2025-01-01
199669,52910,52910,A,2025-01-01
136563,36274,36274,A,2025-01-01
113623,30228,30228,A,2025-01-01
37721,10059,10059,B,2025-01-01
339769,89782,89782,A,2025-01-01
166745,44180,44180,A,2025-01-01
186539,49456,49456,A,2025-01-01
30555,8138,8138,A,2025-01-01
37697,10051,10051,B,2025-01-01
219047,57967,57967,B,2025-01-01
86175,22914,22914,A,2025-01-01
281464,74394,74394,A,2025-01-01
223503,59153,59153,B,2025-01-01
30598,8151,8151,B,2025-01-01
261007,69016,69016,A,2025-01-01
70869,18881,18881,B,2025-01-01
186816,49524,49524,A,2025-01-01
101423,26973,26973,B,2025-01-01
86064,22887,22887,B,2025-01-01
306887,81146,81146,A,2025-01-01
285001,75300,75300,A,2025-01-01
155059,41135,41135,B,2025-01-01
246882,65261,65261,B,2025-01-01
50257,13455,13455,B,2025-01-01
222501,58880,58880,A,2025-01-01
343610,90811,90811,B,2025-01-01
173149,45875,45875,B,2025-01-01
317048,83797,83797,B,2025-01-01
259204,68511,68511,B,2025-01-01
98034,26045,26045,B,2025-01-01
326945,86420,86420,A,2025-01-01
21743,5753,5753,B,2025-01-01
294429,77807,77807,B,2025-01-01
58162,15525,15525,B,2025-01-01
58148,15521,15521,B,2025-01-01
186725,49503,49503,B,2025-01-01
374019,98901,98901,B,2025-01-01
317089,83807,83807,B,2025-01-01
306900,81149,81149,B,2025-01-01
209331,55456,55456,A,2025-01-01
50300,13466,13466,A,2025-01-01
44448,11891,11891,B,2025-01-01
209218,55425,55425,B,2025-01-01
270304,71445,71445,B,2025-01-01
166656,44159,44159,B,2025-01-01
166649,44157,44157,B,2025-01-01
113725,30260,30260,A,2025-01-01
80895,21543,21543,B,2025-01-01
119104,31666,31666,A,2025-01-01
94995,25250,25250,A,2025-01-01
277311,73259,73259,B,2025-01-01
58140,15518,15518,A,2025-01-01
144805,38442,38442,A,2025-01-01
320546,84727,84727,B,2025-01-01
145605,38653,38653,B,2025-01-01
59346,15858,15858,A,2025-01-01
249763,66016,66016,A,2025-01-01
45063,12060,12060,A,2025-01-01
320739,84782,84782,A,2025-01-01
323231,85429,85429,B,2025-01-01
215726,57105,57105,B,2025-01-01
271191,71676,71676,A,2025-01-01
229890,60828,60828,A,2025-01-01
345905,91409,91409,B,2025-01-01
247025,65301,65301,B,2025-01-01
85565,22751,22751,B,2025-01-01
284584,75203,75203,B,2025-01-01
227114,60090,60090,A,2025-01-01
239098,63234,63234,A,2025-01-01
20393,5393,5393,B,2025-01-01
162433,43055,43055,B,2025-01-01
154040,40868,40868,A,2025-01-01
187956,49827,49827,B,2025-01-01
146292,38831,38831,B,2025-01-01
242251,64065,64065,B,2025-01-01
9484,2454,2454,A,2025-01-01
118639,31544,31544,A,2025-01-01
331885,87704,87704,A,2025-01-01
220995,58462,58462,A,2025-01-01
320718,84776,84776,A,2025-01-01
323289,85445,85445,B,2025-01-01
95346,25341,25341,B,2025-01-01
69375,18472,18472,A,2025-01-01
132703,35251,35251,B,2025-01-01
154206,40907,40907,B,2025-01-01
85607,22765,22765,B,2025-01-01
219835,58178,58178,A,2025-01-01
366922,97012,97012,A,2025-01-01
162423,43052,43052,A,2025-01-01
31323,8340,8340,A,2025-01-01
247007,65296,65296,A,2025-01-01
351214,92796,92796,A,2025-01-01
81720,21757,21757,B,2025-01-01
367037,97042,97042,A,2025-01-01
358262,94720,94720,A,2025-01-01
68954,18367,18367,B,2025-01-01
68949,18365,18365,B,2025-01-01
146514,38887,38887,B,2025-01-01
