,hashed_order_id,hashed_user_id,event_date,order_sum,commission,delivery_fee
8,O2_0_3734,2,2025-01-30,10285.0,1021.0,0.0
13,O2_1_4073,2,2025-01-31,10646.0,768.0,990.0
18,O3_0_3062,3,2025-01-31,9913.0,937.0,0.0
23,O4_0_9154,4,2025-02-04,10654.0,1048.0,0.0
28,O4_1_4157,4,2025-02-11,7066.0,833.0,0.0
35,O7_0_7585,7,2025-02-10,9963.0,663.0,0.0
44,O9_0_9338,9,2025-01-05,10856.0,549.0,0.0
73,O22_0_3950,22,2025-01-02,11142.0,1367.0,0.0
78,O22_1_4124,22,2025-01-04,9905.0,1093.0,0.0
83,O22_2_1512,22,2025-01-09,9361.0,898.0,0.0
88,O23_0_7617,23,2025-01-05,7410.0,725.0,0.0
99,O25_0_4974,25,2025-01-10,11904.0,1536.0,0.0
104,O25_1_6917,25,2025-01-11,12611.0,1266.0,0.0
110,O26_0_8330,26,2025-02-27,8349.0,781.0,0.0
117,,28,2025-02-17,8635.0,855.0,0.0
124,O31_0_9053,31,2025-02-14,10734.0,1118.0,0.0
142,O39_0_1770,39,2025-01-10,10340.0,1272.0,0.0
148,O40_0_8730,40,2025-02-08,9611.0,1234.0,0.0
154,O40_1_8956,40,2025-02-09,8369.0,743.0,990.0
159,O41_0_6811,41,2025-01-14,9450.0,510.0,0.0
164,O41_1_7229,41,2025-01-17,13374.0,1573.0,0.0
169,O42_0_2605,42,2025-01-08,9236.0,847.0,0.0
177,O46_0_2828,46,2025-01-02,9604.0,1052.0,0.0
189,O49_0_8804,49,2025-02-06,10037.0,1340.0,0.0
200,O52_0_1793,52,2025-02-02,7883.0,707.0,0.0
215,O56_0_2990,56,2025-01-26,8563.0,1011.0,0.0
221,O58_0_6490,58,2025-02-18,4698.0,572.0,0.0
236,O64_0_8083,64,2025-02-17,10333.0,832.0,0.0
243,O66_0_1341,66,2025-02-27,13241.0,1740.0,0.0
253,O68_0_6760,68,2025-01-05,8746.0,1192.0,0.0
